path,skill,kind,bytes,lines,words,tokens_o200k_base
skills/google-code-review-author/LICENSE-Generator-Apache-2.0.txt,google-code-review-author,license,11362,201,1581,2260
skills/google-code-review-author/LICENSE.txt,google-code-review-author,license,19758,326,3004,4251
skills/google-code-review-author/SKILL.md,google-code-review-author,skill,5953,108,876,1151
skills/google-code-review-author/source.json,google-code-review-author,provenance,2421,71,145,855
skills/google-code-review-reviewer/LICENSE-Generator-Apache-2.0.txt,google-code-review-reviewer,license,11362,201,1581,2260
skills/google-code-review-reviewer/LICENSE.txt,google-code-review-reviewer,license,19758,326,3004,4251
skills/google-code-review-reviewer/SKILL.md,google-code-review-reviewer,skill,6522,111,935,1269
skills/google-code-review-reviewer/source.json,google-code-review-reviewer,provenance,2764,81,161,998
skills/google-common-lisp-style/LICENSE-Generator-Apache-2.0.txt,google-common-lisp-style,license,11362,201,1581,2260
skills/google-common-lisp-style/LICENSE.txt,google-common-lisp-style,license,19749,326,3004,4251
skills/google-common-lisp-style/SKILL.md,google-common-lisp-style,skill,8809,143,1216,1880
skills/google-common-lisp-style/source.json,google-common-lisp-style,provenance,1661,51,113,580
skills/google-cpp-style/LICENSE-Generator-Apache-2.0.txt,google-cpp-style,license,11362,201,1581,2260
skills/google-cpp-style/LICENSE.txt,google-cpp-style,license,19749,326,3004,4251
skills/google-cpp-style/SKILL.md,google-cpp-style,skill,8064,126,1137,1690
skills/google-cpp-style/source.json,google-cpp-style,provenance,1645,51,113,575
skills/google-csharp-style/LICENSE-Generator-Apache-2.0.txt,google-csharp-style,license,11362,201,1581,2260
skills/google-csharp-style/LICENSE.txt,google-csharp-style,license,19749,326,3004,4251
skills/google-csharp-style/SKILL.md,google-csharp-style,skill,6481,110,936,1328
skills/google-csharp-style/source.json,google-csharp-style,provenance,1653,51,113,577
skills/google-documentation-guide/LICENSE-Generator-Apache-2.0.txt,google-documentation-guide,license,11362,201,1581,2260
skills/google-documentation-guide/LICENSE.txt,google-documentation-guide,license,19749,326,3004,4251
skills/google-documentation-guide/SKILL.md,google-documentation-guide,skill,5685,104,842,1108
skills/google-documentation-guide/source.json,google-documentation-guide,provenance,2354,71,145,846
skills/google-go-style/LICENSE-Generator-Apache-2.0.txt,google-go-style,license,11362,201,1581,2260
skills/google-go-style/LICENSE.txt,google-go-style,license,19749,326,3004,4251
skills/google-go-style/SKILL.md,google-go-style,skill,7673,121,1117,1604
skills/google-go-style/source.json,google-go-style,provenance,1976,61,129,720
skills/google-html-css-style/LICENSE-Generator-Apache-2.0.txt,google-html-css-style,license,11362,201,1581,2260
skills/google-html-css-style/LICENSE.txt,google-html-css-style,license,19749,326,3004,4251
skills/google-html-css-style/SKILL.md,google-html-css-style,skill,6206,108,896,1229
skills/google-html-css-style/source.json,google-html-css-style,provenance,1659,51,113,577
skills/google-java-style/LICENSE-Generator-Apache-2.0.txt,google-java-style,license,11362,201,1581,2260
skills/google-java-style/LICENSE.txt,google-java-style,license,19749,326,3004,4251
skills/google-java-style/SKILL.md,google-java-style,skill,6586,110,952,1387
skills/google-java-style/source.json,google-java-style,provenance,1648,51,113,579
skills/google-javascript-style/LICENSE-Generator-Apache-2.0.txt,google-javascript-style,license,11362,201,1581,2260
skills/google-javascript-style/LICENSE.txt,google-javascript-style,license,19749,326,3004,4251
skills/google-javascript-style/SKILL.md,google-javascript-style,skill,8801,135,1235,1841
skills/google-javascript-style/source.json,google-javascript-style,provenance,1658,51,113,574
skills/google-objective-c-style/LICENSE-Generator-Apache-2.0.txt,google-objective-c-style,license,11362,201,1581,2260
skills/google-objective-c-style/LICENSE.txt,google-objective-c-style,license,19749,326,3004,4251
skills/google-objective-c-style/SKILL.md,google-objective-c-style,skill,9029,142,1244,1864
skills/google-objective-c-style/source.json,google-objective-c-style,provenance,1660,51,113,568
skills/google-python-style/LICENSE-Generator-Apache-2.0.txt,google-python-style,license,11362,201,1581,2260
skills/google-python-style/LICENSE.txt,google-python-style,license,19749,326,3004,4251
skills/google-python-style/SKILL.md,google-python-style,skill,8886,140,1246,1842
skills/google-python-style/source.json,google-python-style,provenance,1648,51,113,571
skills/google-shell-style/LICENSE-Generator-Apache-2.0.txt,google-shell-style,license,11362,201,1581,2260
skills/google-shell-style/LICENSE.txt,google-shell-style,license,19749,326,3004,4251
skills/google-shell-style/SKILL.md,google-shell-style,skill,6628,116,962,1419
skills/google-shell-style/source.json,google-shell-style,provenance,1649,51,113,576
skills/google-typescript-style/LICENSE-Generator-Apache-2.0.txt,google-typescript-style,license,11362,201,1581,2260
skills/google-typescript-style/LICENSE.txt,google-typescript-style,license,19749,326,3004,4251
skills/google-typescript-style/SKILL.md,google-typescript-style,skill,9790,152,1379,2078
skills/google-typescript-style/source.json,google-typescript-style,provenance,1658,51,113,573
skills/google-vimscript-style/LICENSE-Generator-Apache-2.0.txt,google-vimscript-style,license,11362,201,1581,2260
skills/google-vimscript-style/LICENSE.txt,google-vimscript-style,license,19749,326,3004,4251
skills/google-vimscript-style/SKILL.md,google-vimscript-style,skill,6243,109,864,1381
skills/google-vimscript-style/source.json,google-vimscript-style,provenance,1662,51,113,575
skills/google-xml-style/LICENSE-Generator-Apache-2.0.txt,google-xml-style,license,11362,201,1581,2260
skills/google-xml-style/LICENSE.txt,google-xml-style,license,19749,326,3004,4251
skills/google-xml-style/SKILL.md,google-xml-style,skill,4370,89,630,888
skills/google-xml-style/source.json,google-xml-style,provenance,1645,51,113,568
